1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,"McAfee LiveSafe (30 day Free trial), Microsoft Office Home & Student 2019, HP Documentation, HP Smart, HP Support Assistant, HP SSRM",1 Year Onsite Warranty,NA,NA,NA,NA,NA,NA,NA,NA
AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,NA,NA,NA,NA,NA,NA,NA,NA
Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,Office Home and Student 2021,2 Year Onsite�Warranty,NA,NA,NA,NA,NA,NA,NA,NA
Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,NA,NA,NA,NA,NA,NA,NA,NA
Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,Office Home and Student 2021,2 Year Onsite�Warranty,NA,NA,NA,NA,NA,NA,NA,NA
AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,DOS Operating System,256 GB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Years Warranty,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Onsite Warranty,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,NA,1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection,NA,NA,NA,NA,NA,NA,NA,NA
Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,NA,NA,NA,NA,NA,NA,NA,NA
