Brand,Features,Price
HP Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3037tu Thin and Light Laptop,"{1: 'Intel Celeron Dual Core Processor', 2: '8 GB DDR4 RAM', 3: '64 bit Windows 11 Operating System', 4: '256 GB SSD', 5: '35.56 cm (14 inch) Display', 6: '1 Year Onsite Warranty', 7: 'NA', 8: 'NA', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹25,990"
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"{1: 'Intel Core i3 Processor (10th Gen)', 2: '8 GB DDR4 RAM', 3: '64 bit Windows 11 Operating System', 4: '512 GB SSD', 5: '39.62 cm (15.6 inch) Display', 6: 'Office Home and Student 2021', 7: '1 Year Onsite Warranty', 8: 'NA', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹33,990"
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"{1: 'Intel Core i3 Processor (11th Gen)', 2: '8 GB DDR4 RAM', 3: '64 bit Windows 11 Operating System', 4: '512 GB SSD', 5: '39.62 cm (15.6 inch) Display', 6: 'Office Home and Student 2021', 7: '2 Year Onsite�Warranty', 8: 'NA', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹38,900"
HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,"{1: 'Intel Core i3 Processor (11th Gen)', 2: '8 GB DDR4 RAM', 3: '64 bit Windows 11 Operating System', 4: '512 GB SSD', 5: '35.56 cm (14 inch) Display', 6: 'Microsoft Office Home & Student 2021', 7: '1 Year Onsite Warranty', 8: 'NA', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹40,490"
Lenovo IdeaPad 3 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Laptop,"{1: 'Intel Core i5 Processor (12th Gen)', 2: '8 GB DDR4 RAM', 3: '64 bit Windows 11 Operating System', 4: '512 GB SSD', 5: '39.62 cm (15.6 Inch) Display', 6: '2 Year Onsite Warranty', 7: 'NA', 8: 'NA', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹59,790"
Lenovo IdeaPad Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN | 81X800LGIN Thin and L...,"{1: 'Intel Core i3 Processor (11th Gen)', 2: '8 GB DDR4 RAM', 3: '64 bit Windows 11 Operating System', 4: '512 GB SSD', 5: '39.62 cm (15.6 Inch) Display', 6: 'Office Home and Student 2021', 7: '2 Year Onsite�Warranty', 8: 'NA', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹37,290"
Lenovo Celeron Dual Core - (4 GB/256 GB HDD/256 GB SSD/DOS) 82C3A00DIH Laptop,"{1: 'Intel Celeron Dual Core Processor', 2: '4 GB LPDDR4 RAM', 3: 'DOS Operating System', 4: '256 GB HDD|256 GB SSD', 5: '39.62 cm (15.6 inch) Display', 6: '1 Years Warranty', 7: 'NA', 8: 'NA', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹19,490"
DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) D560841WIN9S Thin and Ligh...,"{1: 'Processor: Intel i3-1115G4 (Base- 1.70 GHz & Turbo up to 4.10 GHz) 2 Cores', 2: 'RAM & Storage: 8GB DDR4 & 1TB + 256GB SSD', 3: 'Graphics & Keyboard: Integrated & Standard Keyboard', 4: 'Display: 15.6"" FHD WVA AG Narrow Border', 5: 'Ports: 2x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4, SD Card reader, Audio jack, 1 M.2 2230/2280 slot for solid-state drive/Intel Optane', 6: 'Intel Core i3 Processor (11th Gen)', 7: '8 GB DDR4 RAM', 8: 'Windows 11 Operating System', 9: '1 TB HDD|256 GB SSD', 10: '39.62 cm (15.6 inch) Display', 11: '1 YEAR', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹41,990"
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14s-fy1003AU Thin and Light Laptop,"{1: 'AMD Ryzen 5 Hexa Core Processor', 2: '16 GB DDR4 RAM', 3: '64 bit Windows 11 Operating System', 4: '512 GB SSD', 5: '35.56 cm (14 inch) Display', 6: 'Microsoft Office Home & Student 2021', 7: '1 Year Onsite Warranty', 8: 'NA', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹50,499"
acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"{1: 'Free upgrade to Windows 11 when available', 2: 'AMD Ryzen 5 Hexa Core Processor', 3: '8 GB DDR4 RAM', 4: '64 bit Windows 11 Operating System', 5: '512 GB SSD', 6: '39.62 cm (15.6 inch) Display', 7: 'Acer Collection , Acer Product Registration, Acer Care Center, Quick Access', 8: '1 Year International Travelers Warranty (ITW)', 9: 'NA', 10: 'NA', 11: 'NA', 12: 'NA', 13: 'NA', 14: 'NA', 15: 'NA'}","₹51,990"
