Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,32890
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37248
HP,AMD,Ryzen 5 Hexa Core,512,,8,DDR4,Windows 10,15.6,Normal,Not Available,1 Year Onsite Warranty,49990
Lenovo,Intel,Celeron Dual Core,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,25990
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
ASUS,AMD,Ryzen 5 Hexa Core,512,,8,DDR4,Windows 11,17.3,Normal,Not Available,1 Year Onsite Warranty,52990
HP,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,35990
Lenovo,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,52990
DELL,Intel,Core i3  - 11th Gen,256,1024 ,8,DDR4,Windows 11,15.6,Normal,Not Available,,39990
ASUS,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,45990
acer,AMD,Ryzen 3 Dual Core,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,25990
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Carry In Warranty,34990
ASUS,Intel,Celeron Dual Core,256,,4,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,23990
ASUS,AMD,Ryzen 5 Hexa Core,256,1024 ,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,48990
Lenovo,AMD,Ryzen 5 Hexa Core,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,58490
Lenovo,Intel,Core i5  - 11th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,55990
RedmiBook,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,39990
ASUS,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,69990
ASUS,Intel,Core i7  - 11th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,54990
Lenovo,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,,67800
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty + 1 Year Accidental Damage Protection Add On,33599
ASUS,AMD,Ryzen 5 Quad Core,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,38990
HP,AMD,Ryzen 3 Dual Core,256,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,29990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Not Available,2 Year Onsite Warranty,37990
HP,AMD,Ryzen 5 Hexa Core,512,,16,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,49123
ASUS,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,35990
HP,AMD,Athlon Dual Core,256,,8,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,25990
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,32890
DELL,Intel,Core i3  - 11th Gen,256,1024 ,8,DDR4,Windows 11,15.6,Normal,Not Available,,41990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,41490
Lenovo,AMD,Ryzen 7 Octa Core,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,76990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37248
RedmiBook,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,31990
ASUS,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,69990
ASUS,AMD,Ryzen 7 Octa Core,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,64990
