Brand,Processor,Storage,RAM,OS,Display,Office,Warranty,Price
HP,Intel Celeron Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹25,990"
ASUS,Intel Core i3 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹33,990"
Lenovo,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,2 Year Onsite�Warranty,"₹38,900"
HP,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,"₹40,490"
Lenovo,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,2 Year Onsite Warranty,"₹59,790"
Lenovo,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,Office Home and Student 2021,2 Year Onsite�Warranty,"₹37,290"
Lenovo,Intel Celeron Dual Core Processor,256 GB HDD|256 GB SSD,4 GB LPDDR4 RAM,DOS Operating System,39.62 cm (15.6 inch) Display,,1 Years Warranty,"₹19,490"
DELL,Intel Core i3 Processor (11th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,,,"₹41,990"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,"₹50,499"
acer,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year International Travelers Warranty (ITW),"₹51,990"
HP,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,,"₹35,999"
MSI,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Warranty,"₹57,990"
MSI,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,2 Year On-Site & Carry-In Warranty,"₹51,990"
HP,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹62,990"
HP,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹38,490"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart",1 Year Onsite Warranty,"₹46,490"
HP,AMD Athlon Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹27,990"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹59,990"
APPLE,Apple M2 Processor,256 GB SSD,8 GB Unified Memory RAM,Mac OS Operating System,34.54 cm (13.6 Inch) Display,,1 Year Limited Warranty,"₹1,13,990"
MSI,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Warranty,"₹45,990"
ASUS,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹50,990"
ASUS,AMD Ryzen 7 Octa Core Processor,1 TB SSD,16 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student,1 Year Onsite Warranty,"₹85,990"
