Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
HP,Intel,Celeron Dual Core,256,0,8,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,25990
ASUS,Intel,Core i3  - 10th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,33990
Lenovo,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,38900
HP,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,40490
Lenovo,Intel,Core i5  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,59790
Lenovo,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37290
Lenovo,Intel,Celeron Dual Core,256,256,4,LPDDR4,DOS,15.6,Normal,Not Available,1 Year Warranty,19490
DELL,Intel,Core i3  - 11th Gen,256,1024,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,41990
HP,AMD,Ryzen 5 Hexa Core,512,0,16,DDR4,64 bit Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,50499
acer,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,51990
HP,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,35999
MSI,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Warranty,57990
MSI,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,51990
HP,Intel,Core i5  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,62990
HP,Intel,Core i3  - 11th Gen,256,0,8,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,38490
HP,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home 2019 & Office 365,1 Year Onsite Warranty,46490
HP,AMD,Athlon Dual Core,256,0,8,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,27990
HP,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 10,15.6,Normal,Not Available,1 Year Onsite Warranty,59990
APPLE,Apple,M2,256,0,8,Unified Memory,Mac,13.6,Normal,Not Available,1 Year Limited Warranty,113990
MSI,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Warranty,45990
